Usage: ./a.out <world_height> <world_width> <num_cities> <random_seed> <cities_to_visit>
Table: 

Location	xpos	ypos	Minas Morgul	Osgiliath	The Grey Havens	Lothlorien	Emyn Muil	Trollshaws	Misty Mountains	Pelennor Fields	Hollin	Minas Tirith	Dagorlad	Barad-Dur	Dunharrow	Entwash River	Mirkwood	Cirith Ungol	Rivendell	Hobbiton	The Old Forest	Helm's Deep	Dol Guldur	Orodruin	Weathertop	Fangorn Forest	Laketown	Beorn's House	Bucklebury	The Black Gate	Erebor	Dale	Isengard	Bywater	Gorgoroth	Bree	Michel Delving	Prancing Pony	River Isen	Moria	Gladden Fields	Edoras	
Minas Morgul	19.5179	17.41	0	23.0202	19.6977	8.66298	4.1065	15.1083	17.9091	17.6885	19.7917	12.117	16.1134	15.7436	19.1429	25.1638	3.03339	3.15739	20.1399	6.08381	10.1346	13.6132	12.2061	16.0266	10.7511	20.4627	21.7597	2.59786	13.067	9.48481	6.85022	13.0577	14.7431	20.5965	18.0973	20.0772	9.84579	13.5348	22.0068	7.48782	19.2286	5.61102	
Osgiliath	2.23624	2.20222	23.0202	0	3.99185	15.5686	19.6966	8.95004	11.8247	10.9384	3.38584	12.8523	15.5926	17.4282	12.8421	2.22087	20.3137	19.9538	5.987	21.1546	13.4352	17.5048	11.8815	12.1943	14.9176	5.14856	4.36043	25.0744	11.9104	14.3174	16.6452	17.2185	12.4418	2.50157	6.82531	2.94328	19.3367	12.3421	1.37599	17.7506	6.92056	17.58	
The Grey Havens	3.46008	6.00184	19.6977	3.99185	0	13.0081	16.697	7.276	8.16545	7.22359	2.99477	10.9181	11.749	16.7662	9.39599	5.74748	17.1701	16.7392	2.8292	17.3459	10.7774	16.3573	9.6865	8.30122	12.9008	6.24981	2.68154	21.594	10.1463	11.7025	13.0801	13.2357	11.4247	1.76657	6.51537	2.06572	15.3706	10.8651	3.80382	15.2457	3.37791	14.1354	
Lothlorien	15.9895	9.49812	8.66298	15.5686	13.0081	0	4.6362	6.85669	14.7678	14.115	12.188	3.45968	15.0465	8.64706	16.3807	17.7877	5.62975	5.60958	14.4231	10.5319	2.23672	6.78446	3.80485	13.1029	2.37115	12.1674	15.5214	11.1919	4.4363	1.30917	5.89595	13.3096	6.14701	13.3865	9.75206	12.7343	12.0171	4.87742	14.3681	2.23824	13.8276	5.37176	
Emyn Muil	18.3994	13.4587	4.1065	19.6966	16.697	4.6362	0	11.3357	16.4771	16.0502	16.3694	8.0924	15.5937	11.8585	17.9239	21.8908	1.17469	1.57135	17.5884	7.77777	6.37646	9.74411	8.33482	14.6267	6.64702	16.695	18.9953	6.69304	9.07199	5.60959	5.32327	13.0349	10.6481	17.3675	14.2937	16.7806	10.5967	9.47215	18.5848	3.42075	16.8017	3.98409	
Trollshaws	10.6863	5.15185	15.1083	8.95004	7.276	6.85669	11.3357	0	12.4634	11.544	5.59286	3.90222	14.5501	9.62313	14.0948	11.1604	12.1603	11.9509	9.5435	15.0311	4.98317	9.08343	3.05329	11.4493	5.96759	5.36443	9.95754	17.4663	2.97955	5.73102	9.88487	14.3338	4.25352	7.06893	2.9915	6.34043	14.7781	3.59286	7.66479	8.93344	9.39916	10.3136	
Misty Mountains	1.93195	14.023	17.9091	11.8247	8.16545	14.7678	16.4771	12.4634	0	0.978032	10.916	14.5661	4.00933	21.6061	1.66534	12.8887	16.3843	15.7592	5.87255	13.333	12.8703	20.4727	13.1683	1.88464	15.9368	14.0371	7.78775	18.9502	14.3015	13.6424	11.3128	6.6921	16.4706	9.92885	13.4156	10.1592	9.98627	15.327	11.9408	16.7077	4.90622	12.6959	
Pelennor Fields	2.35245	13.14	17.6885	10.9384	7.22359	14.115	16.0502	11.544	0.978032	0	9.94708	13.7578	4.73004	20.7618	2.55105	12.0807	16.022	15.4122	5.03398	13.3747	12.1583	19.6752	12.3544	1.85006	15.189	13.0607	6.99664	18.8534	13.4565	12.9566	10.9839	7.10139	15.5886	8.98944	12.4445	9.20206	10.2129	14.4721	11.0112	16.107	4.02184	12.3554	
Hollin	5.30157	3.64016	19.7917	3.38584	2.99477	12.188	16.3694	5.59286	10.916	9.94708	0	9.49051	14.2371	14.4896	12.2556	5.60669	17.0252	16.6922	5.8227	18.3459	10.07	14.3675	8.49662	10.7618	11.5539	3.25537	5.24037	21.9236	8.56781	10.944	13.6091	15.2839	9.30869	1.7363	3.87409	1.02892	16.9371	9.06355	2.2192	14.3655	6.31516	14.4481	
Minas Tirith	14.3693	6.44126	12.117	12.8523	10.9181	3.45968	8.0924	3.90222	14.5661	13.7578	9.49051	0	15.7497	7.12358	16.2308	15.062	9.08511	9.03336	12.8558	13.3934	2.66313	5.92175	1.40788	13.1712	2.06548	8.94084	13.5726	14.6299	1.02625	2.81497	8.34306	14.6909	2.94301	10.9165	6.53493	10.2027	14.1646	1.51145	11.5626	5.23096	12.4934	8.25207	
